0	3	64
0	8	89
0	9	32
0	10	34
0	13	97
0	19	38
0	21	96
0	29	39
0	30	92
0	32	12
0	40	6
0	41	53
0	42	70
0	47	90
0	54	93
0	55	35
0	57	86
0	62	57
0	67	78
0	72	24
0	81	2
0	86	20
0	89	89
0	90	21
0	93	21
0	94	100
0	95	79
0	97	38
0	99	89
0	101	82
0	103	68
0	105	25
0	109	12
0	110	49
0	115	54
0	122	46
0	124	72
0	126	45
0	127	93
0	130	86
0	133	18
0	134	34
0	140	95
0	142	1
0	143	11
0	146	79
0	148	94
0	153	68
0	157	11
0	160	84
0	162	54
0	165	3
0	169	14
0	172	38
0	174	54
0	175	11
0	179	12
0	184	52
0	187	41
0	189	89
0	190	35
0	192	1
0	194	64
0	195	10
0	198	83
0	202	85
0	203	61
0	205	25
0	209	45
0	211	61
0	212	25
0	217	4
0	218	79
0	220	75
0	227	33
0	232	76
0	233	90
0	235	65
0	240	4
0	241	42
0	242	62
0	249	88
0	255	84
0	257	55
0	263	86
0	267	19
0	269	30
0	274	26
0	277	90
0	278	26
0	280	87
0	281	8
0	285	86
0	287	52
0	290	33
0	294	87
0	295	29
0	297	59
0	298	33
0	302	91
0	304	91
0	306	17
0	308	50
0	309	93
0	311	41
0	318	23
0	323	74
0	325	6
0	326	36
0	327	93
0	329	18
0	332	34
0	349	78
0	350	46
0	351	53
0	353	93
0	359	91
0	360	90
0	363	94
0	366	83
0	371	31
0	372	98
0	379	8
0	387	68
0	390	88
0	393	7
0	394	49
0	395	36
0	397	73
0	398	71
1	8	63
1	9	52
1	11	69
1	18	38
1	20	73
1	24	14
1	26	71
1	29	50
1	38	77
1	39	68
1	41	67
1	49	38
1	52	51
1	55	62
1	58	30
1	60	42
1	64	89
1	67	74
1	68	3
1	73	16
1	76	19
1	77	82
1	78	32
1	79	78
1	85	75
1	90	12
1	93	58
1	94	77
1	95	60
1	96	27
1	97	54
1	103	56
1	104	74
1	106	80
1	111	83
1	117	87
1	119	2
1	120	81
1	121	52
1	123	100
1	124	92
1	125	40
1	127	59
1	130	20
1	135	67
1	139	7
1	142	54
1	158	99
1	160	60
1	169	19
1	170	15
1	171	48
1	172	16
1	179	41
1	180	18
1	186	43
1	191	44
1	194	74
1	201	26
1	211	16
1	214	85
1	217	64
1	220	95
1	225	13
1	239	44
1	244	98
1	245	43
1	247	50
1	260	14
1	262	27
1	263	19
1	266	91
1	267	10
1	274	71
1	277	5
1	280	8
1	283	52
1	287	32
1	288	45
1	291	9
1	295	80
1	310	100
1	316	38
1	319	59
1	322	99
1	325	15
1	326	19
1	334	46
1	336	34
1	342	99
1	347	88
1	350	59
1	356	61
1	358	25
1	359	67
1	360	48
1	361	13
1	362	96
1	367	65
1	371	94
1	380	100
1	389	42
1	391	83
1	393	51
1	396	26
1	397	90
1	399	76
2	3	80
2	7	14
2	13	36
2	16	26
2	18	48
2	20	49
2	26	5
2	35	33
2	37	5
